0.0,89.1,89.1,89.6,89.1,91.0,94.4,91.0,91.0,92.0,92.0,93.7,91.0,100.6,101.5,91.0,292.7,99.4,296.1,93.0,91.0,93.0,93.0,91.0,93.0,93.7,93.7,94.4,93.7,93.7,288.9,288.3,96.7,289.5,296.6,288.2,288.2,288.2,288.2,288.2,288.2,286.1,286.1,290.8,290.6,291.6,289.5,290.6,292.3,291.6,300.0,292.3,289.5,290.6,290.6,290.6,298.5,290.6,291.6,297.9,294.2,296.7,292.3,291.6,292.3,297.9,292.9,292.3,294.2,291.6,289.5,299.2,297.9,99.4,286.1,291.6,292.9,291.3,296.1,292.3,296.1,292.3,296.7,292.3
89.1,0.0,89.1,89.1,89.1,92.0,92.0,89.6,89.6,93.7,93.7,288.3,92.0,99.4,296.1,92.0,99.4,294.0,101.5,98.2,93.0,91.0,93.0,93.0,95.6,91.0,94.4,93.7,93.7,92.0,99.4,98.2,93.7,294.5,293.6,286.1,286.1,286.1,286.1,286.1,286.1,288.2,288.2,292.9,288.5,289.5,287.4,288.5,290.2,289.5,297.9,290.2,287.4,288.5,288.5,288.5,296.4,288.5,289.5,295.8,292.1,294.6,290.2,291.6,297.8,300.5,295.5,294.9,296.7,294.2,292.1,301.7,300.0,289.5,288.2,294.2,295.5,101.5,296.6,294.9,101.5,294.9,299.3,294.9
89.1,89.1,0.0,89.1,89.1,89.6,89.6,93.0,91.0,93.0,92.0,96.7,93.7,101.5,296.1,101.5,96.7,101.5,101.5,101.5,93.0,91.0,93.0,92.0,96.7,101.5,96.7,99.4,92.0,93.0,93.7,291.3,99.4,101.5,296.1,286.1,286.1,286.1,286.1,286.1,286.1,288.2,287.1,301.4,288.5,289.5,287.4,288.5,290.2,289.5,297.9,290.2,287.4,288.5,288.5,288.5,296.4,288.5,289.5,295.8,292.1,294.6,290.2,291.6,298.9,301.6,296.6,295.9,297.8,295.3,293.2,302.8,299.0,101.5,296.1,295.3,296.6,96.7,101.5,295.9,101.5,296.1,296.1,295.9
89.6,89.1,89.1,0.0,89.1,91.0,89.6,93.7,93.0,94.4,91.0,99.9,92.0,292.7,101.5,93.0,98.2,99.4,288.9,91.0,92.0,96.7,92.0,91.0,93.7,91.0,89.6,94.4,288.3,93.0,96.7,288.9,93.0,93.7,292.9,291.8,291.8,291.8,291.8,291.8,291.8,287.1,286.1,290.8,294.2,295.3,293.2,294.2,295.9,295.3,303.7,295.9,293.2,294.2,294.2,294.2,297.5,300.7,295.3,301.6,295.7,297.4,295.9,293.0,295.9,298.6,293.6,293.0,294.9,292.3,290.2,299.9,297.9,94.4,96.7,292.3,293.6,94.4,98.2,292.7,96.7,292.7,292.7,292.7
89.1,89.1,89.1,89.1,0.0,92.0,91.0,92.0,91.0,93.0,92.0,94.4,92.0,98.2,287.1,95.6,98.2,96.7,287.1,92.0,89.6,93.0,93.7,89.6,91.0,91.0,89.6,101.5,93.7,93.7,91.0,96.7,92.0,100.6,295.2,288.2,288.2,288.2,288.2,288.2,292.3,284.7,99.9,290.8,290.6,291.6,289.5,290.6,292.3,291.6,294.9,290.2,290.8,290.6,290.7,290.6,289.5,297.9,288.2,293.0,297.4,294.6,296.6,290.2,293.2,295.8,290.8,290.2,292.1,289.5,287.4,297.1,295.2,93.0,100.6,295.2,295.2,101.5,296.6,295.2,101.5,296.6,296.1,296.6
91.0,92.0,89.6,89.6,91.0,0.0,89.1,89.1,89.1,89.6,89.6,91.0,91.0,89.6,91.0,92.0,91.0,91.0,89.6,89.6,101.5,91.0,92.0,92.0,89.6,89.6,91.0,93.7,91.0,93.7,93.0,91.0,92.0,100.6,93.7,286.1,292.9,297.9,284.2,293.6,298.0,295.7,92.0,290.2,288.9,288.9,288.9,295.7,295.7,289.5,295.7,295.7,295.7,288.2,288.5,289.5,295.7,295.7,288.9,288.9,295.7,295.7,295.7,101.5,100.6,294.6,292.7,293.3,292.7,292.7,292.7,293.3,293.3,98.2,94.4,293.3,293.3,95.6,292.7,292.7,98.2,293.3,292.7,293.3
93.0,93.0,89.6,89.6,91.0,89.1,0.0,89.1,89.1,89.6,89.6,91.0,91.0,91.0,89.6,91.0,92.0,92.0,91.0,91.0,100.6,92.0,93.0,91.0,91.0,91.0,91.0,92.0,93.7,93.0,93.7,286.6,92.0,99.9,93.7,287.4,300.7,297.9,292.3,296.6,300.7,297.1,93.0,290.2,290.2,290.2,290.2,296.6,296.6,290.6,296.6,296.1,296.1,289.5,289.5,288.3,296.6,296.6,290.2,290.2,296.6,296.6,291.3,296.1,296.1,296.1,291.3,291.3,291.8,101.5,291.3,291.3,291.3,93.7,93.7,291.3,291.3,93.7,96.7,291.3,96.7,291.8,291.3,291.8
91.0,89.6,92.0,93.0,91.0,89.1,89.1,0.0,89.6,89.6,89.6,91.0,89.6,89.6,89.6,91.0,91.0,95.6,89.6,91.0,101.5,89.6,92.0,92.0,89.6,98.2,93.0,96.7,98.2,92.0,99.4,101.5,93.0,93.7,95.6,286.1,300.0,293.6,284.2,300.7,293.0,304.3,93.7,292.3,288.9,288.9,288.9,288.9,288.3,288.2,288.9,288.3,288.9,288.2,287.1,289.5,288.9,288.9,288.9,288.9,288.3,288.3,288.3,296.1,295.2,288.3,288.3,288.3,288.9,288.3,288.3,288.3,288.3,292.7,101.5,296.6,296.6,93.7,93.7,296.1,101.5,296.6,296.1,296.6
89.6,89.6,91.0,93.0,89.6,89.1,89.1,89.1,0.0,91.0,89.1,92.0,89.1,89.6,91.0,96.7,92.0,89.6,89.6,94.4,93.7,89.6,92.0,93.7,91.0,93.7,92.0,96.7,93.7,92.0,93.0,93.7,91.0,94.4,96.7,287.4,300.7,300.0,301.4,300.7,301.4,299.9,99.4,291.3,290.2,290.2,290.2,296.6,296.1,288.3,296.6,296.6,296.6,289.5,288.3,288.3,296.6,297.9,290.2,288.3,296.6,296.1,296.6,297.9,296.1,297.9,296.1,296.6,296.1,296.1,296.1,296.6,296.6,93.7,288.3,296.6,296.6,93.7,291.3,296.1,101.5,296.6,296.1,296.6
93.0,93.7,93.0,94.4,92.0,89.6,89.6,89.6,92.0,0.0,89.6,89.1,89.1,89.6,89.6,89.6,89.1,89.6,89.6,89.1,296.6,286.1,291.6,299.2,284.7,296.6,296.1,101.5,99.4,99.4,290.2,94.4,290.2,95.6,93.0,299.3,488.0,493.1,304.3,302.6,301.7,300.5,300.0,308.5,493.2,298.6,305.2,305.2,306.4,494.6,306.4,490.8,306.4,308.5,494.6,484.6,490.8,305.5,298.6,494.6,490.8,490.8,490.8,296.6,295.7,299.3,300.5,299.3,484.0,296.6,297.9,308.5,300.5,297.9,289.5,300.5,308.5,290.7,288.9,306.4,296.6,304.3,491.2,491.7
