7.21,11.102,2.6
9.61,11.102,2.6
8.58,11.996,2.6
9.78,13.196,2.6
8.58,14.396,2.6
14.89,29.235,2.6
17.29,29.235,2.6
14.89,31.635,2.6
17.29,31.635,2.6
7.21,43.05,2.6
5.82,49.05,2.6
7.21,50.25,2.6
5.82,51.685,2.6
10.81,51.685,2.6
13.21,51.685,2.6
7.21,52.91,2.6
9.61,52.91,2.6
12.01,52.91,2.6
14.41,52.91,2.6
5.82,54.085,2.6
7.17,6.04,6.1
16.77,8.01,6.1
15.57,9.68,6.1
14.37,10.9,6.1
16.77,10.9,6.1
7.17,15.68,6.1
7.17,19.12,6.1
7.17,23.34,6.1
5.77,24.08,6.1
8.02,24.08,6.1
7.17,25.28,6.1
5.77,26.48,6.1
8.02,26.48,6.1
7.17,27.68,6.1
7.17,34.88,6.1
23.55,0.85,6.1
25.95,0.85,6.1
28.35,0.85,6.1
23.55,2.95,6.1
25.95,2.95,6.1
28.35,2.95,6.1
7.24,5.54,9.6
15.11,9.575,9.6
0.68,9.68,9.6
18.51,0.3,8.5
19.71,0.3,7.6
20.91,0.3,8.5
31.71,0.3,7.6
32.91,0.3,8.5
19.71,0.5,9.6
31.71,0.5,9.6
33.79,0.5,9.4
33.79,0.5,7.6
17.79,1.7,7.6
18.51,1.7,9.6
20.91,1.7,9.6
32.91,1.7,9.6
33.79,1.7,8.5
17.79,2.9,8.5
19.71,2.9,9.6
31.71,2.9,9.6
33.79,2.9,9.4
33.79,2.9,7.6
24.51,7.7,9.6
26.91,7.7,9.6
25.71,8.9,9.6
24.51,9.36,8.5
25.71,9.36,7.6
26.91,9.36,8.5
24.51,10.1,9.6
26.91,10.1,9.6
32.91,11.3,9.6
31.71,12.5,9.6
18.51,13.7,9.6
20.91,13.7,9.6
30.51,13.7,9.6
32.91,13.7,9.6
19.71,14.9,9.6
22.11,14.9,9.6
29.31,14.9,9.6
20.91,16.1,9.6
28.11,16.1,9.6
30.51,16.1,9.6
32.91,16.1,9.6
