[4,5,9,11,12,22,23,25,26,31,36,37,38,39,40,41,42,43,44,45,46,48,53,57,58,65,68,74,76,77,79,80,81,83,88,99,100,101,102,103,104,114,117,118,130,131,132,141,142,143,148,149,150,151,152,153,158,159,160,161,165,166,167,200,201,208,216,217,218,220,221,231,237,238,239,243,244,245,246,249,251,254,255,256]
m3-151.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a090	17.79	1.7	    7.6
m3-152.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a173	18.51	1.7	    9.6
m3-153.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				b572	20.91	1.7	    9.6
m3-158.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2154	32.91	1.7	    9.6
m3-159.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				1657	33.79	1.7	    8.5
m3-160.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a673	17.79	2.9	    8.5
m3-161.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a390	19.71	2.9	    9.6
m3-165.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2550	31.71	2.9	    9.6
m3-166.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				3052	33.79	2.9	    9.4
m3-167.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2256	33.79	2.9	    7.6
m3-200.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				9270	24.51	7.7	    9.6
m3-201.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a189	26.91	7.7	    9.6
m3-208.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2350	25.71	8.9	    9.6
m3-216.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				1156	24.51	9.36	8.5
m3-217.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				b970	25.71	9.36	7.6
m3-218.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				b389	26.91	9.36	8.5
m3-220.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				a873	24.51	10.1	9.6
m3-221.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				3059	26.91	10.1	9.6
m3-231.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2052	32.91	11.3	9.6
m3-237.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				858	    31.71	12.5	9.6
m3-238.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				9373	18.51	13.7	9.6
m3-239.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				c270	20.91	13.7	9.6
m3-243.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				b073	30.51	13.7	9.6
m3-244.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				1258	32.91	13.7	9.6
m3-245.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2851	19.71	14.9	9.6
m3-246.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2251	22.11	14.9	9.6
m3-249.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				1559	29.31	14.9	9.6
m3-251.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2454	20.91	16.1	9.6
m3-254.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2358	28.11	16.1	9.6
m3-255.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				b371	30.51	16.1	9.6
m3-256.lille.iot-lab.info	Busy	m3 (at86rf231)	lille				2554	32.91	16.1	9.6
